account,classification,trades,total_notional,avg_pnl,win_rate
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,1135,6357516.12,84.9275622784141,0.5955947136563877
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,672,3667355.44,144.91084959970237,0.7529761904761905
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,371,9319233.83,200.39500432884097,0.42857142857142855
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,2446,45776822.49,52.82816290269828,0.3336058871627146
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,1156,17929601.08,-16.54511943252595,0.3555363321799308
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,2334,34783947.19,33.857528488860325,0.34361610968294776
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1277,21862924.69,35.64160001644479,0.4267815191855912
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,346,3336829.2199999997,-205.5543950982659,0.30346820809248554
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,223,727332.09,0.0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5981,225087033.36,61.388767250292595,0.3705066042467815
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3169,121999299.14,51.450825164405174,0.376459450930893
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517,69726062.55,151.50198412793006,0.5542312276519666
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,143,146503.36,14.24656372027972,0.3076923076923077
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,171,106012.87,428.02384293567246,0.8947368421052632
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,359,305149.83,5.683451412256267,0.2200557103064067
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,241,132946.9,125.32531551037344,0.5062240663900415
